state,city,total
Oregon,Albany,62
Oregon,Alsea,0
Oregon,Alvadore,0
Oregon,Amity,0
Oregon,Ashland,0
Oregon,Aumsville,0
Oregon,Aurora,0
Oregon,Baker City,13
Oregon,Banks,0
Oregon,Beavercreek,19
Oregon,Beaverton,88
Oregon,Bend,0
Oregon,Boring,0
Oregon,Bridal Veil,0
Oregon,Brightwood,0
Oregon,Brownsville,78
Oregon,Butte Falls,0
Oregon,Buxton,2
Oregon,Camas Valley,0
Oregon,Canby,10
Oregon,Canyonville,4
Oregon,Carlton,0
Oregon,Cascade Locks,1
Oregon,Cave Junction,2
Oregon,Central Point,8
Oregon,Chemult,0
Oregon,Cheshire,0
Oregon,Clackamas,13
Oregon,Colton,0
Oregon,Columbia City,4
Oregon,Coos Bay,15
Oregon,Coquille,5
Oregon,Corbett,0
Oregon,Cornelius,0
Oregon,Corvallis,26
Oregon,Cottage Grove,5
Oregon,Crabtree,0
Oregon,Crawfordsville,13
Oregon,Creswell,2
Oregon,Culver,2
Oregon,Dallas,648
Oregon,Damascus,0
Oregon,Days Creek,0
Oregon,Dayton,2
Oregon,Deer Island,0
Oregon,Detroit,201
Oregon,Dexter,2
Oregon,Dillard,0
Oregon,Donald,0
Oregon,Drain,0
Oregon,Dundee,0
Oregon,Eagle Creek,1
Oregon,Eagle Point,5
Oregon,Elmira,0
Oregon,Estacada,3
Oregon,Eugene,105
Oregon,Fairview,4
Oregon,Fall Creek,0
Oregon,Falls City,0
Oregon,Florence,53
Oregon,Forest Grove,0
Oregon,Gales Creek,0
Oregon,Gaston,2
Oregon,Gates,0
Oregon,Gervais,0
Oregon,Gilchrist,0
Oregon,Gladstone,1
Oregon,Gold Beach,5
Oregon,Gold Hill,0
Oregon,Government Camp,0
Oregon,Grand Ronde,0
Oregon,Grants Pass,39
Oregon,Gresham,0
Oregon,Halsey,0
Oregon,Happy Valley,15
Oregon,Harrisburg,0
Oregon,Hermiston,14
Oregon,Hillsboro,6
Oregon,Hubbard,1
Oregon,Idanha,0
Oregon,Idleyld Park,0
Oregon,Independence,22
Oregon,Jacksonville,17
Oregon,Jefferson,5
Oregon,Junction City,0
Oregon,Keizer,18
Oregon,Kerby,0
Oregon,King City,5
Oregon,Klamath Falls,18
Oregon,La Pine,3
Oregon,Lafayette,0
Oregon,Lake Oswego,31
Oregon,Lebanon,0
Oregon,Lincoln City,0
Oregon,Lorane,0
Oregon,Lowell,0
Oregon,Madras,6
Oregon,Manning,0
Oregon,Marcola,0
Oregon,Marylhurst,0
Oregon,Mcminnville,28
Oregon,Medford,11
Oregon,Mehama,0
Oregon,Merlin,0
Oregon,Mill City,0
Oregon,Milwaukie,38
Oregon,Molalla,9
Oregon,Monmouth,0
Oregon,Monroe,33
Oregon,Mount Angel,7
Oregon,Mulino,0
Oregon,Murphy,10
Oregon,Myrtle Creek,3
Oregon,Newberg,21
Oregon,Newport,1
Oregon,North Bend,0
Oregon,North Plains,0
Oregon,O Brien,0
Oregon,Ontario,2
Oregon,Oregon City,19
Oregon,Philomath,0
Oregon,Phoenix,537
Oregon,Pleasant Hill,0
Oregon,Portland,44
Oregon,Prineville,7
Oregon,Prospect,0
Oregon,Rainier,0
Oregon,Redmond,37
Oregon,Rhododendron,0
Oregon,Rickreall,0
Oregon,Riddle,0
Oregon,Rogue River,2
Oregon,Roseburg,31
Oregon,Saint Benedict,0
Oregon,Saint Helens,5
Oregon,Saint Paul,3
Oregon,Salem,0
Oregon,Sandy,5
Oregon,Scappoose,3
Oregon,Scotts Mills,0
Oregon,Selma,2
Oregon,Shady Cove,0
Oregon,Shedd,0
Oregon,Sheridan,21
Oregon,Sherwood,0
Oregon,Silverton,3
Oregon,Sisters,2
Oregon,Springfield,51
Oregon,St Helens,1
Oregon,Stayton,5
Oregon,Sublimity,3
Oregon,Sunriver,0
Oregon,Sutherlin,3
Oregon,Sweet Home,0
Oregon,Talent,5
Oregon,Tangent,0
Oregon,Terrebonne,0
Oregon,Tigard,31
Oregon,Timber,0
Oregon,Trail,0
Oregon,Troutdale,7
Oregon,Tualatin,11
Oregon,Turner,0
Oregon,Veneta,1
Oregon,Vernonia,0
Oregon,Warm Springs,2
Oregon,Warren,67
Oregon,Welches,0
Oregon,West Linn,21
Oregon,White City,1
Oregon,Wilderville,0
Oregon,Willamina,1
Oregon,Williams,0
Oregon,Wilsonville,18
Oregon,Wolf Creek,0
Oregon,Woodburn,10
Oregon,Yamhill,0
Oregon,Yoncalla,0
New Hampshire,Acworth,17
New Hampshire,Alstead,0
New Hampshire,Alton,0
New Hampshire,Alton Bay,1
New Hampshire,Amherst,5
New Hampshire,Andover,2
New Hampshire,Antrim,2
New Hampshire,Ashland,4
New Hampshire,Ashuelot,0
New Hampshire,Atkinson,0
New Hampshire,Auburn,57
New Hampshire,Barnstead,0
New Hampshire,Barrington,1
New Hampshire,Bartlett,10
New Hampshire,Bath,0
New Hampshire,Bedford,15
New Hampshire,Belmont,4
New Hampshire,Bennington,4
New Hampshire,Berlin,0
New Hampshire,Bethlehem,0
New Hampshire,Boscawen,2
New Hampshire,Bow,0
New Hampshire,Bradford,12
New Hampshire,Brentwood,0
New Hampshire,Bretton Woods,0
New Hampshire,Bristol,29
New Hampshire,Brookline,0
New Hampshire,Campton,1
New Hampshire,Canaan,7
New Hampshire,Candia,0
New Hampshire,Canterbury,2
New Hampshire,Center Barnstead,0
New Hampshire,Center Conway,1
New Hampshire,Center Harbor,0
New Hampshire,Center Ossipee,2
New Hampshire,Center Sandwich,1
New Hampshire,Center Strafford,0
New Hampshire,Center Tuftonboro,0
New Hampshire,Charlestown,7
New Hampshire,Chester,0
New Hampshire,Chesterfield,0
New Hampshire,Chichester,0
New Hampshire,Chocorua,1
