state,country,total
Oregon,Baker County,4
Oregon,Benton County,14
Oregon,Clackamas County,243
Oregon,Clatsop County,16
Oregon,Columbia County,29
Oregon,Coos County,37
Oregon,Crook County,11
Oregon,Curry County,29
Oregon,Deschutes County,69
Oregon,Douglas County,18
Oregon,Hood River County,12
Oregon,Jackson County,66
Oregon,Jefferson County,131
Oregon,Josephine County,41
Oregon,Klamath County,18
Oregon,Lake County,168
Oregon,Lane County,159
Oregon,Lincoln County,15
Oregon,Linn County,118
Oregon,Malheur County,17
Oregon,Marion County,5
Oregon,Morrow County,18
Oregon,Multnomah County,481
Oregon,Polk County,18
Oregon,Tillamook County,12
Oregon,Umatilla County,33
Oregon,Wasco County,16
Oregon,Washington County,26
Oregon,Yamhill County,51
New Hampshire,Belknap County,36
New Hampshire,Carroll County,6
New Hampshire,Cheshire County,41
New Hampshire,Coos County,37
New Hampshire,Grafton County,59
New Hampshire,Hillsborough County,539
New Hampshire,Merrimack County,76
New Hampshire,Rockingham County,15
New Hampshire,Strafford County,66
New Hampshire,Sullivan County,68
North Dakota,Barnes County,12
North Dakota,Burleigh County,39
North Dakota,Cass County,15
North Dakota,Grand Forks County,39
North Dakota,Morton County,20
North Dakota,Richland County,132
North Dakota,Stark County,177
North Dakota,Traill County,10
New Mexico,Bernalillo County,278
New Mexico,Chaves County,33
New Mexico,Curry County,29
New Mexico,De Baca County,1
New Mexico,Dona Ana County,64
New Mexico,Eddy County,40
New Mexico,Grant County,33
New Mexico,Lea County,34
New Mexico,Lincoln County,15
New Mexico,Luna County,16
New Mexico,Mckinley County,19
New Mexico,Mora County,7
New Mexico,Otero County,11
New Mexico,Quay County,8
New Mexico,Rio Arriba County,6
New Mexico,Roosevelt County,4
New Mexico,San Juan County,31
New Mexico,San Miguel County,13
New Mexico,Sandoval County,39
New Mexico,Santa Fe County,48
New Mexico,Taos County,8
New Mexico,Torrance County,1
New Mexico,Valencia County,13
Nevada,Carson City,24
Nevada,Churchill County,10
Nevada,Clark County,243
Nevada,Douglas County,18
Nevada,Elko County,10
Nevada,Humboldt County,36
Nevada,Lincoln County,15
Nevada,Lyon County,7
Nevada,Nye County,8
Nevada,Storey County,0
Nevada,Washoe County,124
Wyoming,Albany County,17
Wyoming,Converse County,10
Wyoming,Crook County,11
Wyoming,Goshen County,10
Wyoming,Laramie County,34
Wyoming,Natrona County,38
Wyoming,Park County,17
Wyoming,Uinta County,13
Montana,Big Horn County,4
Montana,Carbon County,9
Montana,Flathead County,47
Montana,Gallatin County,6
Montana,Lake County,12
Nebraska,Adams County,27
Nebraska,Buffalo County,27
Nebraska,Burt County,4
Nebraska,Butler County,131
Nebraska,Cass County,15
Nebraska,Cheyenne County,9
Nebraska,Colfax County,5
Nebraska,Cuming County,9
Montana,Lewis And Clark County,33
Montana,Madison County,81
Montana,Missoula County,49
Montana,Park County,17
Montana,Ravalli County,20
Montana,Rosebud County,2
Montana,Sanders County,6
Montana,Silver Bow County,21
