address,description,image,location,number,seller,symbol,title,unit,url
"#9 VILLAS DTHERESA, PO BOX 565,440B NORTH WEST POINT RD, WEST BAY,KY1-1303","On behalf of the owner, I am offering the following rooms to rent in a Beautiful 3 Bed /3,5 Bath Townhouse in an attractive, small complex in West Bay.2nd floor Master Bedroom, with Small Outside Balcony & Ensuite Bathroom.
3rd floor Loft Bedroom with Ensuite Bathroom.Property is ideal for Single Professionals, (Sorry No Children, or NAU Recipients).
The rental property is situated in a desirable, well maintained and quiet residential complex on booming North West Point Road in West Bay. Located close to the Public Beach and on a main and frequent bus route.
Camana Bay is 15 minutes easy drive away, George Town is 20 minutes, with no traffic queues, so your morning commute  to work is easy! Alternatively, you can take advantage of the quiet, make use of the house internet facility, and work from the comforts of home!!There are a number of excellent local restaurants within the immediate area, plus some of the best diving sites on island are just walking distance from your front door. Villas d'Theresa is located close to the Cayman Turtle Centre, Dolphin Discovery, Macabuca Bar & Cracked Conch Restaurant, and is a short drive away from the Kimpton Seafire Hotel and all the amenities and attractions of the Seven Mile Beach Area. There is a small, private swimming pool on site, with a cabana and BBQ area for residents use. Ample Parking Space is provided. Townhouse details as follows:
Split air conditioning system
Washer / Dryer in Unit
Fully Furnished
Big Sofa / Bed for Guest Use
Stainless Steel Appliances
Back Patio Deck with Table & Chairs
No Pets or Smokers Allowed.Rent: CI$ 850.00 per month + share of Utilities & Internet (approx CI$ 150.00 currently), for the MASTER Bedroom.
Security Deposit of CI$ 425.00 required at time of signing the lease.
Available - from August 6th.Rent: CI$ 800.00 per month + share of Utilities & Internet (approx CI$ 150.00 currently), for the LOFT Bedroom.
Security Deposit of CI$ 400.00 required at time of signing the lease.
Available - NowShort term leases available for 3 or 6 months, with an option to extend. For more information, and or to arrange a viewing, please call:
Dinah Green on 327 3603 (WhatsApp)
email: ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2238029.jpg,West Bay,,Utopia Realty,,"GREAT SHORT TERM RENTAL DEAL! 2 ROOMS FOR RENT IN 3 BED / 3.5 BATH TOWNHOUSE, VILLAS D'THERESA, NW POINT, WEST BAY. ",,https://ecaytrade.com/cayman/real-estate/for-rent
"94 Maple Road,woodland apartment A,ky-1 1003","Room available for the 1st August, deposit of 600 + 600 Rent for start, call or whatsapp to Julio 9238973",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237929.jpg,George Town,600,Julio Cesar Zelaya Villafranca,$, Room for Rent (George Town) ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
"#9 VILLAS DTHERESA, PO BOX 565,440B NORTH WEST POINT RD, WEST BAY,KY1-1303","On behalf of the owner, I am offering the following rooms to rent in a Beautiful 3 Bed / 3.5 Bath Townhouse in an attractive, small complex in West Bay.2nd floor Master Bedroom, with Small Outside Balcony & Ensuite Bathroom.
3rd floor Loft Bedroom with Ensuite BathroomProperty is ideal for Single Professionals. (Sorry No Children, or NAU Recipients).The rental property is situated in a desirable, well maintained and quiet residential complex on booming North West Point Road in West Bay. Located close to the Public Beach and on a main and frequent bus route. Camana Bay is 15 minutes easy drive away, George Town is 20 minutes, with no traffic queues so your morning commute to work is easy! Alternatively, you can take advantage of the quiet, make use of the house internet facility, and work from the comforts of home!!There are a number of excellent local restaurants within the immediate area, plus some of the best diving sites on island are just walking distance from your front door.Villas d'Theresa is located close to the Cayman Turtle Centre, Dolphin Discovery, Macabuca Bay & Cracked Conch Restaurant, and is a short drive away from the Kimpton Seafire Hotel and all the amenities and attractions of the Seven Mile Beach Area.There is a small, private swimming pool on site, with a cabana and BBQ area for residents use. Ample Parking Space is provided. Townhouse details as follows:
Split air conditioning system
Washer / Dryer in unit
Fully Furnished
Big Sofa / Bed for Guest Use
Stainless Steel Appliances
Back Patio Deck with Table & Chairs
No Pets or Smokers AllowedRent: CI$ 850.00 per month + share of Utilities & Internet (approx CI$ 150.00 currently), for the MASTER Bedroom.
Security Deposit of CI$ 425.00 required at time of signing the lease. Rent: CI$ 800.00 per month + share of Utilities & Internet (approx CI$ 150.00 currently), for the LOFT Bedroom.
Security Deposit of CI$ 400.00 required at time of signing the lease. 3 or 6 month leases available for both bedrooms, with option to extend.
MASTER BEDROOM - Available from August 6th.
LOFT BEDROOM - Available now. For more information, and or to arrange a viewing, please call:
Dinah Green on 327 3603 (Whats App)
email: ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237998.jpg,West Bay,,UtopiaRealty2,,"GREAT SHORT TERM RENTAL DEAL! 2 ROOMS FOR RENT IN 3 BED / 3.5 BATH TOWNHOUSE, VILLAS D'THERESA, NW POINT, WEST BAY. ",,https://ecaytrade.com/cayman/real-estate/for-rent
South Church Street,A beautifully presented apartment with spectacular views. Has to be seen to be appreciated.  Available August 1st,https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237835.jpg,George Town,"6,000",charlottebusby,$,2 bed Ocean View - Penthouse ,USD,https://ecaytrade.com/cayman/real-estate/for-rent
North Church St,"Bright bedroom with ensuite bathroom available for Sept.1st, 2020. Built-in wardrobe and additional chest of drawers. Located within the Coral Sands Resort property. Just south of the SMB stretch across from Kirks Market. Large barbecue / patio area with private beach and ocean access with stunning sunsets daily. Pool onsite. Washer / Dryer, Cable, Internet and utilities all included. Parking available. KYD 1300 per month, 1 year lease * flexibility *No couples and no room sharing. Proof of work permit required.You'll be sharing the suite with (1) single man from Canada, sociable, very clean and tidy. Contact me for more details as well as providing some info about yourself.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237954.jpg,Seven Mile Beach Corridor,"1,300",Chad Munro_2,$,SOUTH SMB OCEANFRONT 1 BDR - SEPT 1ST - $1300 KYD,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
41 Ryan Rd,"Forty One @ Ryan Road - Available August 1Your private two-bedroom sanctuary five minutes from downtownVideo walk-through: Prime location: No longer sit in traffic for hours
5 minutes from central George Town
3 minutes to Grand Harbour / Hurley’s
15 minutes to Camana Bay
Quiet NeighborhoodUpscale modern design:
Fully renovated; new kitchen, baths, tiles, furniture
New high-efficiency A/C ; LED lightingLarge 2 Bedroom / 2 Bath
Ground Floor
Full-size washer / Dryer
Dishwasher
50” HDTV
2 Reserved Parking spacesVideo walk-through: Non-smoking
No Children
Rent $2000.00 / month
Security Deposit $2200.00",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2238052.jpg,George Town,"2,000",Stefan Twinn,$,2 BED/2 BATH MODERN RENOVATED,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
"20 Falcon CL,653","Located on a quiet street in West Bay, 6 Minutes to Kimpton Seafire and SMB,Brand New Apartment, it has solid wood cabinets, granite counter tops and stainless steel appliances. This 2 bed, 2.5 bath apartment is 6 minutes away from Seven Mile Beach, Foster's IGA (Republix) and the West Bay bypass.Available Now.For more information contact Rohan:
3263124",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237990.jpg,West Bay,"1,600",cayman1978,$,Brand New Apartment,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
129 Smith Road,"Centrally located on Smith Road
Newly renovated
2 bedroom 1 bathroom
Everything you need is new including the kitchen sink!
Fully furnished with modern look and feel.Maximum persons permitted to live in home is 4 people.NO PETS ALLOWED
Available NOW
RMLS# 607Contact- Tara

Member of CIREBA",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2238091.jpg,George Town,"1,800",Tara Bernardo,$,2 BED/ 1 BATH RENOVATED ON SMITH ROAD ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
173 South Church Street,"2 bed 2 bath
Ground Floor
Views of the Ocean
Located in George Town a few meters away from Eden's Rock fantastic snorkeling scene and downtown restaurants.
Close to Schools and supermarkets.
Huge screened in Patio
Central AC
Fully equip kitchen and Laundry.
No Pets
Available Now!
RMLS# 609Contact Tara-

Member of CIREBA",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2238103.jpg,George Town,"1,675",Tara Bernardo,$,2 BED/ 2 BATH SOUTH CHURCH STREET UNIT,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
146 Magellan Quay,"Stunning 3 bed 2 bath second floor unit located in a 4-plex overlooking Governor's Sound. Furnished unit, great storage and amazing views. The complex is well-maintained with a pool and dock space.Huge glass windows/patio doors with panoramic water views and a massive wrap-around balcony. Kitchenaid appliances, full washer and dryer, large LG TV, integrated audio sound system and more. Pets welcome. This is a unique property and rarely do they come up for rental on the market.Fantastic location just off of Seven Mile Beach and a short drive to all of your needs; beach, grocery, dining, Camana Bay, and only a 5-minute drive to George Town.Available now. Your tropical oasis awaits. To arrange a viewing, call, whatsapp or text Victoria at 925-2204. CI$4,500 per month + utilities",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2238250.jpg,Seven Mile Beach Corridor,"4,500",vbise,$,"Magellan Quay, Superb 3 Bed Condo with Dock",KYD,https://ecaytrade.com/cayman/real-estate/for-rent
