Name,Season,Date,Competition,Round,Venue,Result,Squad,Opponent
Patrick van Aanholt,2019-2020,2019-08-10,Premier League,Matchweek 1,Home,D 0–0,Crystal Palace,Everton
Patrick van Aanholt,2019-2020,2019-08-18,Premier League,Matchweek 2,Away,L 0–1,Crystal Palace,Sheffield Utd
Patrick van Aanholt,2019-2020,2019-08-24,Premier League,Matchweek 3,Away,W 2–1,Crystal Palace,Manchester Utd
Patrick van Aanholt,2019-2020,2019-08-31,Premier League,Matchweek 4,Home,W 1–0,Crystal Palace,Aston Villa
Patrick van Aanholt,2019-2020,2019-09-14,Premier League,Matchweek 5,Away,L 0–4,Crystal Palace,Tottenham
Patrick van Aanholt,2019-2020,2019-09-22,Premier League,Matchweek 6,Home,D 1–1,Crystal Palace,Wolves
Patrick van Aanholt,2019-2020,2019-09-28,Premier League,Matchweek 7,Home,W 2–0,Crystal Palace,Norwich City
Patrick van Aanholt,2019-2020,2019-10-05,Premier League,Matchweek 8,Away,W 2–1,Crystal Palace,West Ham
Patrick van Aanholt,2019-2020,2019-10-19,Premier League,Matchweek 9,Home,L 0–2,Crystal Palace,Manchester City
Patrick van Aanholt,2019-2020,2019-10-27,Premier League,Matchweek 10,Away,D 2–2,Crystal Palace,Arsenal
Patrick van Aanholt,2019-2020,2019-11-03,Premier League,Matchweek 11,Home,L 0–2,Crystal Palace,Leicester City
Patrick van Aanholt,2019-2020,2019-11-09,Premier League,Matchweek 12,Away,L 0–2,Crystal Palace,Chelsea
Patrick van Aanholt,2019-2020,2019-11-19,Euro Qualifying,Group stage,Home,W 5–0,Netherlands,Estonia
Kepa Arrizabalaga,2019-2020,2019-08-11,Premier League,Matchweek 1,Away,L 0–4,Chelsea,Manchester Utd
Patrick van Aanholt,2019-2020,2019-11-23,Premier League,Matchweek 13,Home,L 1–2,Crystal Palace,Liverpool
Patrick van Aanholt,2019-2020,2019-11-30,Premier League,Matchweek 14,Away,W 2–0,Crystal Palace,Burnley
Patrick van Aanholt,2019-2020,2019-12-03,Premier League,Matchweek 15,Home,W 1–0,Crystal Palace,Bournemouth
Patrick van Aanholt,2019-2020,2019-12-21,Premier League,Matchweek 18,Away,L 0–1,Crystal Palace,Newcastle Utd
Patrick van Aanholt,2019-2020,2019-12-26,Premier League,Matchweek 19,Home,W 2–1,Crystal Palace,West Ham
Patrick van Aanholt,2019-2020,2020-02-01,Premier League,Matchweek 25,Home,L 0–1,Crystal Palace,Sheffield Utd
Patrick van Aanholt,2019-2020,2020-02-08,Premier League,Matchweek 26,Away,L 1–3,Crystal Palace,Everton
Patrick van Aanholt,2019-2020,2020-02-22,Premier League,Matchweek 27,Home,W 1–0,Crystal Palace,Newcastle Utd
Patrick van Aanholt,2019-2020,2020-02-29,Premier League,Matchweek 28,Away,W 1–0,Crystal Palace,Brighton
Patrick van Aanholt,2019-2020,2020-03-07,Premier League,Matchweek 29,Home,W 1–0,Crystal Palace,Watford
Patrick van Aanholt,2019-2020,2020-06-20,Premier League,Matchweek 30,Away,W 2–0,Crystal Palace,Bournemouth
Kepa Arrizabalaga,2019-2020,2019-08-14,Super Cup,UEFA Super Cup,Away,L 2 ,Chelsea,Liverpool
Kepa Arrizabalaga,2019-2020,2019-08-18,Premier League,Matchweek 2,Home,D 1–1,Chelsea,Leicester City
Kepa Arrizabalaga,2019-2020,2019-08-24,Premier League,Matchweek 3,Away,W 3–2,Chelsea,Norwich City
Kepa Arrizabalaga,2019-2020,2019-08-31,Premier League,Matchweek 4,Home,D 2–2,Chelsea,Sheffield Utd
Kepa Arrizabalaga,2019-2020,2019-09-05,Euro Qualifying,Group stage,Away,W 2–1,Spain,Romania
Kepa Arrizabalaga,2019-2020,2019-09-14,Premier League,Matchweek 5,Away,W 5–2,Chelsea,Wolves
Kepa Arrizabalaga,2019-2020,2019-09-17,Champions Lg,Group stage,Home,L 0–1,Chelsea,Valencia
Kepa Arrizabalaga,2019-2020,2019-09-22,Premier League,Matchweek 6,Home,L 1–2,Chelsea,Liverpool
Kepa Arrizabalaga,2019-2020,2019-09-28,Premier League,Matchweek 7,Home,W 2–0,Chelsea,Brighton
Kepa Arrizabalaga,2019-2020,2019-10-02,Champions Lg,Group stage,Away,W 2–1,Chelsea,Lille
Kepa Arrizabalaga,2019-2020,2019-10-06,Premier League,Matchweek 8,Away,W 4–1,Chelsea,Southampton
Kepa Arrizabalaga,2019-2020,2019-10-12,Euro Qualifying,Group stage,Away,D 1–1,Spain,Norway
Kepa Arrizabalaga,2019-2020,2019-10-15,Euro Qualifying,Group stage,Away,D 1–1,Spain,Sweden
Kepa Arrizabalaga,2019-2020,2019-10-19,Premier League,Matchweek 9,Home,W 1–0,Chelsea,Newcastle Utd
